Id,Label,timeset,modularity_class
0,0,,2
40,40,,0
10,10,,2
14,14,,0
47,47,,2
15,15,,3
42,42,,2
1,1,,1
36,36,,0
41,41,,1
17,17,,1
19,19,,2
54,54,,1
26,26,,1
27,27,,1
28,28,,2
2,2,,2
44,44,,0
61,61,,0
3,3,,3
8,8,,3
59,59,,3
4,4,,3
51,51,,3
5,5,,1
56,56,,1
9,9,,1
13,13,,1
57,57,,1
6,6,,1
7,7,,2
30,30,,2
37,37,,0
45,45,,3
20,20,,0
32,32,,1
29,29,,3
11,11,,3
12,12,,0
33,33,,0
34,34,,0
38,38,,0
43,43,,0
16,16,,0
50,50,,0
52,52,,0
24,24,,3
18,18,,3
55,55,,3
22,22,,1
25,25,,1
31,31,,1
21,21,,3
23,23,,3
35,35,,3
60,60,,1
49,49,,0
39,39,,1
58,58,,0
46,46,,0
53,53,,0
48,48,,1
