Id,Label,timeset,modularity_class
0,0,,0
1,1,,2
35,35,,1
4,4,,0
65,65,,9
33,33,,2
104,104,,0
9,9,,0
16,16,,0
41,41,,0
23,23,,0
90,90,,6
93,93,,0
37,37,,2
103,103,,2
105,105,,2
45,45,,2
109,109,,2
89,89,,2
57,57,,8
25,25,,2
27,27,,9
101,101,,1
2,2,,3
64,64,,3
3,3,,4
100,100,,3
6,6,,3
72,72,,4
74,74,,4
13,13,,3
14,14,,7
47,47,,3
15,15,,3
60,60,,3
106,106,,3
5,5,,4
102,102,,4
81,81,,4
40,40,,4
11,11,,6
52,52,,4
84,84,,4
26,26,,7
58,58,,11
108,108,,5
28,28,,6
69,69,,6
97,97,,11
98,98,,4
10,10,,4
107,107,,4
32,32,,3
39,39,,3
7,7,,5
85,85,,7
55,55,,1
68,68,,5
8,8,,5
73,73,,10
77,77,,5
78,78,,5
111,111,,5
82,82,,1
21,21,,5
22,22,,5
51,51,,5
50,50,,6
24,24,,6
12,12,,7
34,34,,7
36,36,,11
38,38,,7
43,43,,7
17,17,,9
18,18,,7
110,110,,10
99,99,,7
71,71,,7
54,54,,7
92,92,,8
114,114,,10
67,67,,10
96,96,,9
113,113,,9
20,20,,9
87,87,,9
62,62,,9
95,95,,9
42,42,,7
19,19,,1
61,61,,7
31,31,,7
44,44,,8
79,79,,1
94,94,,1
29,29,,1
30,30,,1
70,70,,9
75,75,,8
76,76,,9
46,46,,10
66,66,,8
53,53,,10
56,56,,9
63,63,,11
80,80,,1
91,91,,8
49,49,,10
59,59,,11
112,112,,8
48,48,,8
86,86,,8
83,83,,10
88,88,,10
