Id,Label,timeset,modularity_class
1,1,,201
1589,1589,,201
3,3,,0
2,2,,0
4,4,,0
5,5,,0
6,6,,0
8,8,,1
7,7,,1
9,9,,1
10,10,,1
11,11,,1
13,13,,2
12,12,,2
14,14,,2
15,15,,2
17,17,,3
16,16,,3
18,18,,3
21,21,,4
20,20,,4
22,22,,4
24,24,,36
23,23,,36
25,25,,36
28,28,,5
27,27,,5
29,29,,5
31,31,,6
30,30,,6
32,32,,6
33,33,,6
34,34,,6
36,36,,7
35,35,,7
37,37,,7
38,38,,7
39,39,,7
40,40,,7
43,43,,8
42,42,,8
45,45,,34
44,44,,34
46,46,,34
48,48,,128
47,47,,128
49,49,,128
50,50,,128
51,51,,6
52,52,,6
53,53,,6
54,54,,6
55,55,,18
56,56,,18
57,57,,6
58,58,,6
60,60,,9
59,59,,9
61,61,,9
63,63,,275
62,62,,275
64,64,,275
65,65,,275
67,67,,10
66,66,,10
68,68,,10
70,70,,11
69,69,,11
71,71,,11
72,72,,11
74,74,,92
73,73,,92
75,75,,92
76,76,,92
78,78,,139
77,77,,139
79,79,,139
80,80,,139
82,82,,101
81,81,,101
83,83,,101
85,85,,12
84,84,,12
86,86,,12
88,88,,181
87,87,,181
90,90,,18
92,92,,13
91,91,,13
93,93,,13
95,95,,11
94,94,,11
96,96,,11
97,97,,11
98,98,,11
99,99,,11
100,100,,11
103,103,,14
102,102,,14
104,104,,14
106,106,,15
105,105,,15
107,107,,15
109,109,,16
108,108,,16
112,112,,17
111,111,,17
114,114,,18
113,113,,18
117,117,,174
116,116,,174
119,119,,19
118,118,,19
121,121,,139
120,120,,139
123,123,,20
122,122,,20
124,124,,20
127,127,,24
126,126,,24
128,128,,24
130,130,,21
129,129,,21
131,131,,6
132,132,,6
133,133,,6
134,134,,6
136,136,,128
135,135,,128
138,138,,22
137,137,,22
140,140,,23
139,139,,23
141,141,,23
142,142,,23
143,143,,23
144,144,,23
145,145,,23
146,146,,23
147,147,,23
148,148,,23
149,149,,24
150,150,,24
151,151,,24
152,152,,24
154,154,,25
153,153,,25
155,155,,25
156,156,,25
157,157,,11
158,158,,11
161,161,,26
